master_seat_type_index,master_seat_area_index,master_seat_unit_index,row,seat_number,sales_type
1,1,,3,40,single
1,1,,3,41,single
1,1,,3,42,single
1,1,,3,43,single
1,1,,3,44,single
1,1,,3,45,single
1,1,,3,46,single
1,1,,3,48,single
1,1,,3,49,single
1,1,,3,50,single
1,1,,3,51,single
1,1,,3,52,single
1,1,,3,53,single
1,1,,3,54,single
1,1,,3,55,single
1,1,,3,56,single
1,1,,3,57,single
1,1,,3,58,single
1,1,,3,59,single
1,1,,3,60,single
1,1,,4,31,single
1,1,,4,33,single
1,1,,4,34,single
1,1,,4,35,single
1,1,,4,36,single
1,1,,4,37,single
1,1,,4,38,single
1,1,,4,39,single
1,1,,4,40,single
1,1,,4,41,single
1,1,,4,42,single
1,1,,4,43,single
1,1,,4,44,single
1,1,,4,45,single
1,1,,4,46,single
1,1,,4,48,single
1,1,,4,49,single
1,1,,4,50,single
1,1,,4,51,single
1,1,,4,52,single
1,1,,4,53,single
1,1,,4,54,single
1,1,,4,55,single
1,1,,4,56,single
1,1,,4,57,single
1,1,,4,58,single
1,1,,4,59,single
1,1,,4,60,single
1,1,,5,22,single
1,1,,5,23,single
1,1,,5,24,single
1,1,,5,25,single
1,1,,5,26,single
1,1,,5,27,single
1,1,,5,28,single
1,1,,5,29,single
1,1,,5,30,single
1,1,,5,31,single
1,1,,5,33,single
1,1,,5,34,single
1,1,,5,35,single
1,1,,5,36,single
1,1,,5,37,single
1,1,,5,38,single
1,1,,5,39,single
1,1,,5,40,single
1,1,,5,41,single
1,1,,5,42,single
1,1,,5,43,single
1,1,,5,44,single
1,1,,5,45,single
1,1,,5,46,single
1,1,,5,48,single
1,1,,5,49,single
1,1,,5,50,single
1,1,,5,51,single
1,1,,5,52,single
1,1,,5,53,single
1,1,,5,54,single
1,1,,5,55,single
1,1,,5,56,single
1,1,,5,57,single
1,1,,5,58,single
1,1,,5,59,single
1,1,,5,60,single
1,1,,6,9,single
1,1,,6,10,single
1,1,,6,11,single
1,1,,6,12,single
1,1,,6,13,single
1,1,,6,14,single
1,1,,6,15,single
1,1,,6,16,single
1,1,,6,17,single
1,1,,6,18,single
1,1,,6,19,single
1,1,,6,20,single
1,1,,6,21,single
1,1,,6,22,single
1,1,,6,23,single
1,1,,6,24,single
1,1,,6,25,single
1,1,,6,26,single
1,1,,6,27,single
1,1,,6,28,single
1,1,,6,29,single
1,1,,6,30,single
1,1,,6,31,single
1,1,,6,33,single
1,1,,6,34,single
1,1,,6,35,single
1,1,,6,36,single
1,1,,6,37,single
1,1,,6,38,single
1,1,,6,39,single
1,1,,6,40,single
1,1,,6,41,single
1,1,,6,42,single
1,1,,6,43,single
1,1,,6,44,single
1,1,,6,45,single
1,1,,6,46,single
1,1,,6,47,single
1,1,,6,48,single
1,1,,6,49,single
1,1,,6,50,single
1,1,,6,51,single
1,1,,6,52,single
1,1,,6,53,single
1,1,,6,54,single
1,1,,6,55,single
1,1,,6,56,single
1,1,,6,57,single
1,1,,6,58,single
1,1,,6,59,single
1,1,,6,60,single
1,1,,7,1,single
1,1,,7,2,single
1,1,,7,3,single
1,1,,7,4,single
1,1,,7,5,single
1,1,,7,6,single
1,1,,7,7,single
1,1,,7,8,single
1,1,,7,9,single
1,1,,7,10,single
1,1,,7,11,single
1,1,,7,12,single
1,1,,7,13,single
1,1,,7,14,single
1,1,,7,15,single
1,1,,7,16,single
1,1,,7,17,single
1,1,,7,18,single
1,1,,7,19,single
1,1,,7,20,single
1,1,,7,21,single
1,1,,7,22,single
1,1,,7,23,single
1,1,,7,24,single
1,1,,7,25,single
1,1,,7,26,single
1,1,,7,27,single
1,1,,7,28,single
1,1,,7,29,single
1,1,,7,30,single
1,1,,7,31,single
1,1,,7,32,single
1,1,,7,33,single
1,1,,7,34,single
1,1,,7,35,single
1,1,,7,36,single
1,1,,7,37,single
1,1,,7,38,single
1,1,,7,39,single
1,1,,7,40,single
1,1,,7,41,single
1,1,,7,42,single
1,1,,7,43,single
1,1,,7,44,single
1,1,,7,45,single
1,1,,7,46,single
1,1,,7,47,single
1,1,,7,48,single
1,1,,7,49,single
1,1,,7,50,single
1,1,,7,51,single
1,1,,7,52,single
1,1,,7,53,single
1,1,,7,54,single
1,1,,7,55,single
1,1,,7,56,single
1,1,,7,57,single
1,1,,7,58,single
1,1,,7,59,single
1,1,,7,60,single
