master_seat_type_index,master_seat_area_index,master_seat_unit_index,row,seat_number,sales_type
1,2,,2,63,single
1,2,,2,64,single
1,2,,2,65,single
1,2,,2,66,single
1,2,,2,67,single
1,2,,2,68,single
1,2,,2,69,single
1,2,,2,70,single
1,2,,2,71,single
1,2,,2,72,single
1,2,,2,73,single
1,2,,2,74,single
1,2,,2,75,single
1,2,,2,76,single
1,2,,2,77,single
1,2,,2,78,single
1,2,,2,79,single
1,2,,2,80,single
1,2,,2,81,single
1,2,,2,82,single
1,2,,2,83,single
1,2,,2,84,single
1,2,,2,85,single
1,2,,2,86,single
1,2,,2,87,single
1,2,,2,88,single
1,2,,2,89,single
1,2,,2,90,single
1,2,,2,91,single
1,2,,2,92,single
1,2,,2,93,single
1,2,,2,94,single
1,2,,2,95,single
1,2,,2,96,single
1,2,,2,97,single
1,2,,2,98,single
1,2,,2,99,single
1,2,,2,100,single
1,2,,2,101,single
1,2,,2,102,single
1,2,,2,103,single
1,2,,2,104,single
1,2,,2,105,single
1,2,,2,106,single
1,2,,2,107,single
1,2,,2,108,single
1,2,,2,109,single
1,2,,2,110,single
1,2,,2,111,single
1,2,,2,112,single
1,2,,2,113,single
1,2,,2,114,single
1,2,,2,115,single
1,2,,2,116,single
1,2,,2,117,single
1,2,,2,118,single
1,2,,2,119,single
1,2,,2,120,single
1,2,,2,121,single
1,2,,2,122,single
1,2,,2,123,single
1,2,,2,124,single
1,2,,2,125,single
1,2,,3,63,single
1,2,,3,64,single
1,2,,3,65,single
1,2,,3,66,single
1,2,,3,67,single
1,2,,3,68,single
1,2,,3,69,single
1,2,,3,70,single
1,2,,3,71,single
1,2,,3,72,single
1,2,,3,73,single
1,2,,3,74,single
1,2,,3,75,single
1,2,,3,76,single
1,2,,3,77,single
1,2,,3,78,single
1,2,,3,79,single
1,2,,3,80,single
1,2,,3,81,single
1,2,,3,82,single
1,2,,3,83,single
1,2,,3,84,single
1,2,,3,85,single
1,2,,3,86,single
1,2,,3,87,single
1,2,,3,88,single
1,2,,3,89,single
1,2,,3,90,single
1,2,,3,91,single
1,2,,3,92,single
1,2,,3,93,single
1,2,,3,94,single
1,2,,3,95,single
1,2,,3,96,single
1,2,,3,97,single
1,2,,3,98,single
1,2,,3,99,single
1,2,,3,100,single
1,2,,3,101,single
1,2,,3,102,single
1,2,,3,103,single
1,2,,3,104,single
1,2,,3,105,single
1,2,,3,106,single
1,2,,3,107,single
1,2,,3,108,single
1,2,,3,109,single
1,2,,3,110,single
1,2,,3,111,single
1,2,,3,112,single
1,2,,3,113,single
1,2,,3,114,single
1,2,,3,115,single
1,2,,3,116,single
1,2,,3,117,single
1,2,,3,118,single
1,2,,3,119,single
1,2,,3,120,single
1,2,,3,121,single
1,2,,3,122,single
1,2,,3,123,single
1,2,,3,124,single
1,2,,3,125,single
1,2,,4,62,single
1,2,,4,63,single
1,2,,4,64,single
1,2,,4,65,single
1,2,,4,66,single
1,2,,4,67,single
1,2,,4,68,single
1,2,,4,69,single
1,2,,4,70,single
1,2,,4,71,single
1,2,,4,72,single
1,2,,4,73,single
1,2,,4,74,single
1,2,,4,75,single
1,2,,4,76,single
1,2,,4,77,single
1,2,,4,78,single
1,2,,4,79,single
1,2,,4,80,single
1,2,,4,81,single
1,2,,4,82,single
1,2,,4,83,single
1,2,,4,84,single
1,2,,4,85,single
1,2,,4,86,single
1,2,,4,87,single
1,2,,4,88,single
1,2,,4,89,single
1,2,,4,90,single
1,2,,4,91,single
1,2,,4,92,single
1,2,,4,93,single
1,2,,4,94,single
1,2,,4,95,single
1,2,,4,96,single
1,2,,4,97,single
1,2,,4,98,single
1,2,,4,99,single
1,2,,4,100,single
1,2,,4,101,single
1,2,,4,102,single
1,2,,4,103,single
1,2,,4,104,single
1,2,,4,105,single
1,2,,4,106,single
1,2,,4,107,single
1,2,,4,108,single
1,2,,4,109,single
1,2,,4,110,single
1,2,,4,111,single
1,2,,4,112,single
1,2,,4,113,single
1,2,,4,114,single
1,2,,4,115,single
1,2,,4,116,single
1,2,,4,117,single
1,2,,4,118,single
1,2,,4,119,single
1,2,,4,120,single
1,2,,4,121,single
1,2,,4,122,single
1,2,,4,123,single
1,2,,4,124,single
1,2,,4,125,single
1,2,,4,126,single
1,2,,5,62,single
1,2,,5,63,single
1,2,,5,64,single
1,2,,5,65,single
1,2,,5,66,single
1,2,,5,67,single
1,2,,5,68,single
1,2,,5,69,single
1,2,,5,70,single
1,2,,5,71,single
1,2,,5,72,single
1,2,,5,73,single
1,2,,5,74,single
1,2,,5,75,single
1,2,,5,76,single
1,2,,5,77,single
1,2,,5,78,single
1,2,,5,79,single
1,2,,5,80,single
1,2,,5,81,single
1,2,,5,82,single
1,2,,5,83,single
1,2,,5,84,single
1,2,,5,85,single
1,2,,5,86,single
1,2,,5,87,single
1,2,,5,88,single
1,2,,5,89,single
1,2,,5,90,single
1,2,,5,91,single
1,2,,5,92,single
1,2,,5,93,single
1,2,,5,94,single
1,2,,5,95,single
1,2,,5,96,single
1,2,,5,97,single
1,2,,5,98,single
1,2,,5,99,single
1,2,,5,100,single
1,2,,5,101,single
1,2,,5,102,single
1,2,,5,103,single
1,2,,5,104,single
1,2,,5,105,single
1,2,,5,106,single
1,2,,5,107,single
1,2,,5,108,single
1,2,,5,109,single
1,2,,5,110,single
1,2,,5,111,single
1,2,,5,112,single
1,2,,5,113,single
1,2,,5,114,single
1,2,,5,115,single
1,2,,5,116,single
1,2,,5,117,single
1,2,,5,118,single
1,2,,5,119,single
1,2,,5,120,single
1,2,,5,121,single
1,2,,5,122,single
1,2,,5,123,single
1,2,,5,124,single
1,2,,5,125,single
1,2,,5,126,single
1,2,,6,61,single
1,2,,6,62,single
1,2,,6,63,single
1,2,,6,64,single
1,2,,6,65,single
1,2,,6,66,single
1,2,,6,67,single
1,2,,6,68,single
1,2,,6,69,single
1,2,,6,70,single
1,2,,6,71,single
1,2,,6,72,single
1,2,,6,73,single
1,2,,6,74,single
1,2,,6,75,single
1,2,,6,76,single
1,2,,6,77,single
1,2,,6,78,single
1,2,,6,79,single
1,2,,6,80,single
1,2,,6,81,single
1,2,,6,82,single
1,2,,6,83,single
1,2,,6,84,single
1,2,,6,85,single
1,2,,6,86,single
1,2,,6,87,single
1,2,,6,88,single
1,2,,6,89,single
1,2,,6,90,single
1,2,,6,91,single
1,2,,6,92,single
1,2,,6,93,single
1,2,,6,94,single
1,2,,6,95,single
1,2,,6,96,single
1,2,,6,97,single
1,2,,6,98,single
1,2,,6,99,single
1,2,,6,100,single
1,2,,6,101,single
1,2,,6,102,single
1,2,,6,103,single
1,2,,6,104,single
1,2,,6,105,single
1,2,,6,106,single
1,2,,6,107,single
1,2,,6,108,single
1,2,,6,109,single
1,2,,6,110,single
1,2,,6,111,single
1,2,,6,112,single
1,2,,6,113,single
1,2,,6,114,single
1,2,,6,115,single
1,2,,6,116,single
1,2,,6,117,single
1,2,,6,118,single
1,2,,6,119,single
1,2,,6,120,single
1,2,,6,121,single
1,2,,6,122,single
1,2,,6,123,single
1,2,,6,124,single
1,2,,6,125,single
1,2,,6,126,single
1,2,,7,61,single
1,2,,7,62,single
1,2,,7,63,single
1,2,,7,64,single
1,2,,7,65,single
1,2,,7,66,single
1,2,,7,67,single
1,2,,7,68,single
1,2,,7,69,single
1,2,,7,70,single
1,2,,7,71,single
1,2,,7,72,single
1,2,,7,73,single
1,2,,7,74,single
1,2,,7,75,single
1,2,,7,76,single
1,2,,7,77,single
1,2,,7,78,single
1,2,,7,79,single
1,2,,7,80,single
1,2,,7,81,single
1,2,,7,82,single
1,2,,7,83,single
1,2,,7,84,single
1,2,,7,85,single
1,2,,7,86,single
1,2,,7,87,single
1,2,,7,88,single
1,2,,7,89,single
1,2,,7,90,single
1,2,,7,91,single
1,2,,7,92,single
1,2,,7,93,single
1,2,,7,94,single
1,2,,7,95,single
1,2,,7,96,single
1,2,,7,97,single
1,2,,7,98,single
1,2,,7,99,single
1,2,,7,100,single
1,2,,7,101,single
1,2,,7,102,single
1,2,,7,103,single
1,2,,7,104,single
1,2,,7,105,single
1,2,,7,106,single
1,2,,7,107,single
1,2,,7,108,single
1,2,,7,109,single
1,2,,7,110,single
1,2,,7,111,single
1,2,,7,112,single
1,2,,7,113,single
1,2,,7,114,single
1,2,,7,115,single
1,2,,7,116,single
1,2,,7,117,single
1,2,,7,118,single
1,2,,7,119,single
1,2,,7,120,single
1,2,,7,121,single
1,2,,7,122,single
1,2,,7,123,single
1,2,,7,124,single
1,2,,7,125,single
1,2,,7,126,single
1,2,,7,127,single
