master_seat_type_index,master_seat_area_index,master_seat_unit_index,row,seat_number,sales_type
1,3,,3,128,single
1,3,,3,129,single
1,3,,3,130,single
1,3,,3,131,single
1,3,,3,132,single
1,3,,3,133,single
1,3,,3,134,single
1,3,,3,135,single
1,3,,3,136,single
1,3,,3,137,single
1,3,,3,138,single
1,3,,3,139,single
1,3,,3,140,single
1,3,,3,142,single
1,3,,3,143,single
1,3,,3,144,single
1,3,,3,145,single
1,3,,3,146,single
1,3,,4,128,single
1,3,,4,129,single
1,3,,4,130,single
1,3,,4,131,single
1,3,,4,132,single
1,3,,4,133,single
1,3,,4,134,single
1,3,,4,135,single
1,3,,4,136,single
1,3,,4,137,single
1,3,,4,138,single
1,3,,4,139,single
1,3,,4,140,single
1,3,,4,142,single
1,3,,4,143,single
1,3,,4,144,single
1,3,,4,145,single
1,3,,4,146,single
1,3,,4,147,single
1,3,,4,148,single
1,3,,4,149,single
1,3,,4,150,single
1,3,,4,151,single
1,3,,4,152,single
1,3,,4,153,single
1,3,,5,128,single
1,3,,5,129,single
1,3,,5,130,single
1,3,,5,131,single
1,3,,5,132,single
1,3,,5,133,single
1,3,,5,134,single
1,3,,5,135,single
1,3,,5,136,single
1,3,,5,137,single
1,3,,5,138,single
1,3,,5,139,single
1,3,,5,140,single
1,3,,5,142,single
1,3,,5,143,single
1,3,,5,144,single
1,3,,5,145,single
1,3,,5,146,single
1,3,,5,147,single
1,3,,5,148,single
1,3,,5,149,single
1,3,,5,150,single
1,3,,5,151,single
1,3,,5,152,single
1,3,,5,153,single
1,3,,5,154,single
1,3,,5,155,single
1,3,,5,157,single
1,3,,5,158,single
1,3,,5,159,single
1,3,,6,128,single
1,3,,6,129,single
1,3,,6,130,single
1,3,,6,131,single
1,3,,6,132,single
1,3,,6,133,single
1,3,,6,134,single
1,3,,6,135,single
1,3,,6,136,single
1,3,,6,137,single
1,3,,6,138,single
1,3,,6,139,single
1,3,,6,140,single
1,3,,6,141,single
1,3,,6,142,single
1,3,,6,143,single
1,3,,6,144,single
1,3,,6,145,single
1,3,,6,146,single
1,3,,6,147,single
1,3,,6,148,single
1,3,,6,149,single
1,3,,6,150,single
1,3,,6,151,single
1,3,,6,152,single
1,3,,6,153,single
1,3,,6,154,single
1,3,,6,155,single
1,3,,6,157,single
1,3,,6,158,single
1,3,,6,159,single
1,3,,6,160,single
1,3,,6,161,single
1,3,,6,162,single
1,3,,6,163,single
1,3,,6,164,single
1,3,,6,165,single
1,3,,6,166,single
1,3,,6,167,single
1,3,,6,168,single
1,3,,6,169,single
1,3,,7,128,single
1,3,,7,129,single
1,3,,7,130,single
1,3,,7,131,single
1,3,,7,132,single
1,3,,7,133,single
1,3,,7,134,single
1,3,,7,135,single
1,3,,7,136,single
1,3,,7,137,single
1,3,,7,138,single
1,3,,7,139,single
1,3,,7,140,single
1,3,,7,141,single
1,3,,7,142,single
1,3,,7,143,single
1,3,,7,144,single
1,3,,7,145,single
1,3,,7,146,single
1,3,,7,147,single
1,3,,7,148,single
1,3,,7,149,single
1,3,,7,150,single
1,3,,7,151,single
1,3,,7,152,single
1,3,,7,153,single
1,3,,7,154,single
1,3,,7,155,single
1,3,,7,156,single
1,3,,7,157,single
1,3,,7,158,single
1,3,,7,159,single
1,3,,7,160,single
1,3,,7,161,single
1,3,,7,162,single
1,3,,7,163,single
1,3,,7,164,single
1,3,,7,165,single
1,3,,7,166,single
1,3,,7,167,single
1,3,,7,168,single
1,3,,7,169,single
1,3,,7,170,single
1,3,,7,171,single
1,3,,7,172,single
1,3,,7,173,single
1,3,,7,174,single
1,3,,7,175,single
1,3,,7,176,single
1,3,,7,177,single
1,3,,7,178,single
