master_seat_type_index,master_seat_area_index,master_seat_unit_index,row,seat_number,sales_type
2,5,,1,68,single
2,5,,1,69,single
2,5,,1,70,single
2,5,,1,71,single
2,5,,1,72,single
2,5,,1,74,single
2,5,,1,75,single
2,5,,1,76,single
2,5,,1,77,single
2,5,,1,78,single
2,5,,1,79,single
2,5,,1,80,single
2,5,,1,81,single
2,5,,1,82,single
2,5,,1,83,single
2,5,,1,84,single
2,5,,1,85,single
2,5,,1,86,single
2,5,,1,87,single
2,5,,1,88,single
2,5,,1,89,single
2,5,,1,90,single
2,5,,1,91,single
2,5,,1,92,single
2,5,,1,93,single
2,5,,1,94,single
2,5,,1,95,single
2,5,,1,96,single
2,5,,1,97,single
2,5,,1,98,single
2,5,,1,99,single
2,5,,1,100,single
2,5,,1,101,single
2,5,,1,102,single
2,5,,1,103,single
2,5,,1,104,single
2,5,,1,105,single
2,5,,1,106,single
2,5,,1,107,single
2,5,,1,108,single
2,5,,1,109,single
2,5,,1,110,single
2,5,,1,111,single
2,5,,1,112,single
2,5,,1,113,single
2,5,,1,114,single
2,5,,1,115,single
2,5,,1,116,single
2,5,,1,117,single
2,5,,1,118,single
2,5,,1,119,single
2,5,,1,120,single
2,5,,1,121,single
2,5,,1,122,single
2,5,,1,123,single
2,5,,1,124,single
2,5,,1,125,single
2,5,,2,66,single
2,5,,2,67,single
2,5,,2,68,single
2,5,,2,69,single
2,5,,2,70,single
2,5,,2,71,single
2,5,,2,72,single
2,5,,2,74,single
2,5,,2,75,single
2,5,,2,76,single
2,5,,2,77,single
2,5,,2,78,single
2,5,,2,79,single
2,5,,2,80,single
2,5,,2,81,single
2,5,,2,82,single
2,5,,2,83,single
2,5,,2,84,single
2,5,,2,85,single
2,5,,2,86,single
2,5,,2,87,single
2,5,,2,88,single
2,5,,2,89,single
2,5,,2,90,single
2,5,,2,91,single
2,5,,2,92,single
2,5,,2,93,single
2,5,,2,94,single
2,5,,2,95,single
2,5,,2,96,single
2,5,,2,97,single
2,5,,2,98,single
2,5,,2,99,single
2,5,,2,100,single
2,5,,2,101,single
2,5,,2,102,single
2,5,,2,103,single
2,5,,2,104,single
2,5,,2,105,single
2,5,,2,106,single
2,5,,2,107,single
2,5,,2,108,single
2,5,,2,109,single
2,5,,2,110,single
2,5,,2,111,single
