master_seat_type_index,master_seat_area_index,master_seat_unit_index,row,seat_number,sales_type
2,6,,2,131,single
2,6,,2,132,single
2,6,,2,133,single
2,6,,2,134,single
2,6,,2,135,single
2,6,,2,136,single
2,6,,2,137,single
2,6,,3,131,single
2,6,,3,132,single
2,6,,3,133,single
2,6,,3,134,single
2,6,,3,135,single
2,6,,3,136,single
2,6,,3,137,single
2,6,,3,138,single
2,6,,3,139,single
2,6,,3,140,single
2,6,,3,141,single
2,6,,3,142,single
2,6,,4,131,single
2,6,,4,132,single
2,6,,4,133,single
2,6,,4,134,single
2,6,,4,135,single
2,6,,4,136,single
2,6,,4,137,single
2,6,,4,138,single
2,6,,4,139,single
2,6,,4,140,single
2,6,,4,141,single
2,6,,4,142,single
2,6,,4,143,single
2,6,,4,147,single
2,6,,4,148,single
2,6,,4,149,single
2,6,,4,150,single
2,6,,4,151,single
2,6,,5,131,single
2,6,,5,132,single
2,6,,5,133,single
2,6,,5,134,single
2,6,,5,135,single
2,6,,5,136,single
2,6,,5,137,single
2,6,,5,138,single
2,6,,5,139,single
2,6,,5,140,single
2,6,,5,141,single
2,6,,5,142,single
2,6,,5,143,single
2,6,,5,147,single
2,6,,5,148,single
2,6,,5,149,single
2,6,,5,150,single
2,6,,5,151,single
2,6,,5,152,single
2,6,,5,153,single
2,6,,5,154,single
2,6,,5,155,single
2,6,,5,156,single
2,6,,5,157,single
2,6,,5,158,single
2,6,,6,131,single
2,6,,6,132,single
2,6,,6,133,single
2,6,,6,134,single
2,6,,6,135,single
2,6,,6,136,single
2,6,,6,137,single
2,6,,6,138,single
2,6,,6,139,single
2,6,,6,140,single
2,6,,6,141,single
2,6,,6,142,single
2,6,,6,143,single
2,6,,6,147,single
2,6,,6,148,single
2,6,,6,149,single
2,6,,6,150,single
2,6,,6,151,single
2,6,,6,152,single
2,6,,6,153,single
2,6,,6,154,single
2,6,,6,155,single
2,6,,6,156,single
2,6,,6,157,single
2,6,,6,158,single
2,6,,6,159,single
2,6,,6,160,single
2,6,,6,162,single
2,6,,6,163,single
2,6,,6,164,single
2,6,,7,131,single
2,6,,7,132,single
2,6,,7,133,single
2,6,,7,134,single
2,6,,7,135,single
2,6,,7,136,single
2,6,,7,137,single
2,6,,7,138,single
2,6,,7,139,single
2,6,,7,140,single
2,6,,7,141,single
2,6,,7,142,single
2,6,,7,143,single
2,6,,7,144,single
2,6,,7,147,single
2,6,,7,148,single
2,6,,7,149,single
2,6,,7,150,single
2,6,,7,151,single
2,6,,7,152,single
2,6,,7,153,single
2,6,,7,154,single
2,6,,7,155,single
2,6,,7,156,single
2,6,,7,157,single
2,6,,7,158,single
2,6,,7,159,single
2,6,,7,160,single
2,6,,7,162,single
2,6,,7,163,single
2,6,,7,164,single
2,6,,7,165,single
2,6,,7,166,single
2,6,,7,167,single
2,6,,7,168,single
2,6,,7,169,single
2,6,,7,170,single
2,6,,7,171,single
2,6,,7,172,single
2,6,,7,173,single
2,6,,7,174,single
2,6,,8,131,single
2,6,,8,132,single
2,6,,8,133,single
2,6,,8,134,single
2,6,,8,135,single
2,6,,8,136,single
2,6,,8,137,single
2,6,,8,138,single
2,6,,8,139,single
2,6,,8,140,single
2,6,,8,141,single
2,6,,8,142,single
2,6,,8,143,single
2,6,,8,144,single
2,6,,8,147,single
2,6,,8,148,single
2,6,,8,149,single
2,6,,8,150,single
2,6,,8,151,single
2,6,,8,152,single
2,6,,8,153,single
2,6,,8,154,single
2,6,,8,155,single
2,6,,8,156,single
2,6,,8,157,single
2,6,,8,158,single
2,6,,8,159,single
2,6,,8,160,single
2,6,,8,161,single
2,6,,8,162,single
2,6,,8,163,single
2,6,,8,164,single
2,6,,8,165,single
2,6,,8,166,single
2,6,,8,167,single
2,6,,8,168,single
2,6,,8,169,single
2,6,,8,170,single
2,6,,8,171,single
2,6,,8,172,single
2,6,,8,173,single
2,6,,8,174,single
2,6,,8,175,single
2,6,,8,176,single
2,6,,8,177,single
2,6,,8,178,single
2,6,,8,179,single
2,6,,8,180,single
2,6,,8,181,single
2,6,,8,182,single
2,6,,8,183,single
2,6,,9,156,single
2,6,,9,157,single
2,6,,9,158,single
2,6,,9,159,single
2,6,,9,160,single
2,6,,9,161,single
2,6,,10,138,single
2,6,,10,139,single
2,6,,10,140,single
2,6,,10,141,single
2,6,,10,142,single
2,6,,10,143,single
2,6,,10,144,single
2,6,,10,145,single
2,6,,10,146,single
2,6,,10,147,single
2,6,,10,148,single
2,6,,10,149,single
2,6,,10,150,single
2,6,,10,151,single
2,6,,10,152,single
2,6,,10,153,single
2,6,,11,138,single
2,6,,11,139,single
2,6,,11,140,single
2,6,,11,141,single
2,6,,11,142,single
2,6,,11,143,single
2,6,,11,144,single
2,6,,11,145,single
2,6,,11,146,single
2,6,,11,147,single
2,6,,11,148,single
2,6,,11,149,single
2,6,,11,150,single
2,6,,11,151,single
2,6,,11,152,single
2,6,,11,153,single
2,6,,12,140,single
2,6,,12,141,single
2,6,,12,142,single
2,6,,12,143,single
2,6,,12,144,single
